,ds,y,national_index,week_of_year,is_holiday
0,2014-01-06,136,28539.0,2,0
1,2014-01-13,136,3090.0,3,0
2,2014-01-20,155,0.0,4,0
3,2014-01-27,174,0.0,5,0
4,2014-02-03,196,10353.0,6,0
5,2014-02-10,172,15637.0,7,0
6,2014-02-17,147,0.0,8,0
7,2014-02-24,145,0.0,9,0
8,2014-03-03,188,9886.0,10,0
9,2014-03-10,146,14151.0,11,0
10,2014-03-17,144,0.0,12,0
11,2014-03-24,151,0.0,13,0
12,2014-03-31,142,0.0,14,0
13,2014-04-07,138,19917.0,15,0
14,2014-04-14,163,0.0,16,1
15,2014-04-21,109,0.0,17,0
16,2014-04-28,163,0.0,18,0
17,2014-05-05,146,18078.0,19,0
18,2014-05-12,163,7449.0,20,0
19,2014-05-19,145,0.0,21,0
20,2014-05-26,175,0.0,22,0
21,2014-06-02,215,8251.0,23,0
22,2014-06-09,166,19618.0,24,0
23,2014-06-16,198,0.0,25,0
24,2014-06-23,180,0.0,26,0
25,2014-06-30,159,0.0,27,1
26,2014-07-07,153,31039.0,28,0
27,2014-07-14,191,0.0,29,0
28,2014-07-21,191,0.0,30,0
29,2014-07-28,167,0.0,31,0
30,2014-08-04,165,16458.0,32,0
31,2014-08-11,213,15690.0,33,0
32,2014-08-18,188,0.0,34,0
33,2014-08-25,197,0.0,35,0
34,2014-09-01,193,4621.0,36,1
35,2014-09-08,218,25915.0,37,0
36,2014-09-15,171,0.0,38,0
37,2014-09-22,205,0.0,39,0
38,2014-09-29,224,0.0,40,0
39,2014-10-06,206,28714.0,41,0
40,2014-10-13,184,3129.0,42,0
41,2014-10-20,206,0.0,43,0
42,2014-10-27,192,0.0,44,0
43,2014-11-03,228,11789.0,45,0
44,2014-11-10,240,18576.0,46,0
45,2014-11-17,180,0.0,47,0
46,2014-11-24,236,0.0,48,0
47,2014-12-01,177,4412.0,49,0
48,2014-12-08,175,24911.0,50,0
49,2014-12-15,207,0.0,51,0
50,2014-12-22,237,0.0,52,1
51,2014-12-29,140,0.0,1,1
52,2015-01-05,140,23247.0,2,0
53,2015-01-12,186,8041.0,3,0
54,2015-01-19,181,0.0,4,0
55,2015-01-26,165,0.0,5,0
56,2015-02-02,174,8118.0,6,0
57,2015-02-09,172,21024.0,7,0
58,2015-02-16,197,0.0,8,0
59,2015-02-23,224,0.0,9,0
60,2015-03-02,208,7784.0,10,0
61,2015-03-09,182,15685.0,11,0
