Unnamed: 0,ds,y,national_index,week_of_year,is_holiday,precip_mm,snow_depth_cm,min_temp
0,2014-01-06,136,28539.0,2,0,20.8,1.2,-23.8
1,2014-01-13,136,3090.0,3,0,12.0,1.2,-24.2
2,2014-01-20,155,0.0,4,0,6.0,0.4,-17.3
3,2014-01-27,174,0.0,5,0,7.4,0.9,-23.5
4,2014-02-03,196,10353.0,6,0,12.8,1.4,-20.3
5,2014-02-10,172,15637.0,7,0,15.0,2.5,-18.0
6,2014-02-17,147,0.0,8,0,1.8,2.0,-21.3
7,2014-02-24,145,0.0,9,0,25.0,2.0,-10.5
8,2014-03-03,188,9886.0,10,0,5.6,1.3,-19.8
9,2014-03-10,146,14151.0,11,0,3.4,2.2,-17.7
10,2014-03-17,144,0.0,12,0,8.4,0.8,-17.0
11,2014-03-24,151,0.0,13,0,4.0,0.1,-11.7
12,2014-03-31,142,0.0,14,0,5.8,0.0,-12.3
13,2014-04-07,138,19917.0,15,0,22.6,0.0,-4.3
14,2014-04-14,163,0.0,16,1,19.4,0.0,0.6
15,2014-04-21,109,0.0,17,0,8.2,0.2,-6.9
16,2014-04-28,163,0.0,18,0,7.8,0.0,-1.1
17,2014-05-05,146,18078.0,19,0,41.6,0.0,2.4
18,2014-05-12,163,7449.0,20,0,1.6,0.0,3.5
19,2014-05-19,145,0.0,21,0,35.2,0.0,2.0
20,2014-05-26,175,0.0,22,0,1.2,0.0,9.2
21,2014-06-02,215,8251.0,23,0,13.6,0.0,10.8
22,2014-06-09,166,19618.0,24,0,9.4,0.0,9.4
23,2014-06-16,198,0.0,25,0,25.2,0.0,9.7
24,2014-06-23,180,0.0,26,0,24.2,0.0,12.1
25,2014-06-30,159,0.0,27,1,34.800000000000004,0.0,16.2
26,2014-07-07,153,31039.0,28,0,18.6,0.0,12.0
27,2014-07-14,191,0.0,29,0,12.2,0.0,12.0
28,2014-07-21,191,0.0,30,0,14.2,0.0,10.9
29,2014-07-28,167,0.0,31,0,35.2,0.0,12.7
30,2014-08-04,165,16458.0,32,0,10.2,0.0,13.2
31,2014-08-11,213,15690.0,33,0,14.8,0.0,14.1
32,2014-08-18,188,0.0,34,0,9.4,0.0,11.5
33,2014-08-25,197,0.0,35,0,7.0,0.0,11.9
34,2014-09-01,193,4621.0,36,1,6.0,0.0,11.6
35,2014-09-08,218,25915.0,37,0,43.4,0.0,11.3
36,2014-09-15,171,0.0,38,0,40.0,0.0,5.6
37,2014-09-22,205,0.0,39,0,16.4,0.0,4.6
38,2014-09-29,224,0.0,40,0,0.0,0.0,7.0
39,2014-10-06,206,28714.0,41,0,15.4,0.0,3.2
40,2014-10-13,184,3129.0,42,0,8.2,0.0,1.9
41,2014-10-20,206,0.0,43,0,14.8,0.0,2.5
