time,precip_mm,snow_depth_cm,min_temp
2014-01-06,20.8,1.2,-23.8
2014-01-13,12.0,1.2,-24.2
2014-01-20,6.0,0.4,-17.3
2014-01-27,7.4,0.9,-23.5
2014-02-03,12.8,1.4,-20.3
2014-02-10,15.0,2.5,-18.0
2014-02-17,1.8,2.0,-21.3
2014-02-24,25.0,2.0,-10.5
2014-03-03,5.6,1.3,-19.8
2014-03-10,3.4,2.2,-17.7
2014-03-17,8.4,0.8,-17.0
2014-03-24,4.0,0.1,-11.7
2014-03-31,5.8,0.0,-12.3
2014-04-07,22.6,0.0,-4.3
2014-04-14,19.4,0.0,0.6
2014-04-21,8.2,0.2,-6.9
2014-04-28,7.8,,-1.1
2014-05-05,41.6,,2.4
2014-05-12,1.6,,3.5
2014-05-19,35.2,,2.0
2014-05-26,1.2,,9.2
2014-06-02,13.6,,10.8
2014-06-09,9.4,,9.4
2014-06-16,25.2,,9.7
2014-06-23,24.2,,12.1
2014-06-30,34.800000000000004,,16.2
2014-07-07,18.6,,12.0
2014-07-14,12.2,,12.0
2014-07-21,14.200000000000001,,10.9
2014-07-28,35.2,,12.7
2014-08-04,10.2,,13.2
2014-08-11,14.8,,14.1
2014-08-18,9.4,,11.5
2014-08-25,7.0,,11.9
2014-09-01,6.0,,11.6
2014-09-08,43.4,,11.3
2014-09-15,40.0,,5.6
2014-09-22,16.4,,4.6
2014-09-29,0.0,,7.0
2014-10-06,15.399999999999999,,3.2
2014-10-13,8.2,,1.9
2014-10-20,14.8,,2.5
2014-10-27,3.5999999999999996,,1.2
2014-11-03,16.0,,-2.4
2014-11-10,7.8,,-2.1
2014-11-17,9.0,0.5,-6.6
2014-11-24,24.200000000000003,0.5,-10.1
2014-12-01,0.4,0.0,-7.5
2014-12-08,1.2000000000000002,0.0,-9.9
2014-12-15,17.599999999999998,1.7,-5.7
2014-12-22,6.0,0.1,-6.2
2014-12-29,8.999999999999998,,-5.6
2015-01-05,19.400000000000002,0.1,-14.4
2015-01-12,4.6,0.4,-18.3
2015-01-19,1.0,0.3,-21.2
2015-01-26,0.0,0.0,-13.7
2015-02-02,19.0,1.3,-17.8
2015-02-09,7.6000000000000005,1.8,-16.0
2015-02-16,1.8,1.7,-25.5
2015-02-23,9.6,2.1,-23.5
2015-03-02,0.0,2.0,-20.8
2015-03-09,6.2,1.8,-18.9
2015-03-16,1.6,0.7,-2.6
2015-03-23,2.8000000000000003,0.0,-11.3
2015-03-30,3.6999999999999997,,-11.1
2015-04-06,9.2,0.2,-4.1
2015-04-13,36.800000000000004,,0.6
2015-04-20,26.200000000000003,,1.5
2015-04-27,6.6,,-2.9
2015-05-04,0.4,,4.7
2015-05-11,18.6,,6.8
2015-05-18,0.2,,3.4
2015-05-25,0.2,,1.1
2015-06-01,43.4,,7.3
2015-06-08,34.0,,8.1
2015-06-15,29.6,,12.5
2015-06-22,46.4,,11.6
2015-06-29,50.0,,12.2
2015-07-06,0.2,,11.0
2015-07-13,16.2,,13.0
2015-07-20,7.800000000000001,,12.1
2015-07-27,0.0,,13.0
2015-08-03,15.6,,15.8
